stat_id,match_id,player_id,team_id,minutes_played,points,rebounds,assists,steals,blocks,turnovers,fg_made,fg_attempted,three_made,three_attempted,ft_made,ft_attempted,efficiency,goals,shots,shots_on_target,passes,pass_accuracy,tackles,interceptions,yellow_cards,red_cards,fouls,saves,rating,sets_played,attacks,attack_kills,serves,serve_aces,digs,receptions,reception_efficiency,errors,games_played,points_won,points_lost,smash_winners,net_shots,service_aces,unforced_errors,longest_rally,win_rate
S000639,M00064,P0098,T008,36.0,33.0,0.0,3.0,5.0,3.0,2.0,8.0,18.0,2.0,4.0,1.0,6.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000640,M00064,P0092,T008,10.0,13.0,12.0,5.0,4.0,2.0,1.0,1.0,5.0,2.0,9.0,1.0,1.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000641,M00066,P0045,T004,17.0,25.0,15.0,5.0,0.0,4.0,1.0,7.0,9.0,1.0,2.0,3.0,9.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000642,M00066,P0047,T004,26.0,9.0,2.0,3.0,3.0,2.0,2.0,6.0,16.0,0.0,1.0,4.0,0.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000643,M00066,P0046,T004,33.0,18.0,4.0,8.0,4.0,3.0,5.0,1.0,14.0,5.0,0.0,5.0,3.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000644,M00066,P0041,T004,39.0,25.0,13.0,6.0,5.0,0.0,4.0,2.0,6.0,5.0,2.0,6.0,0.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000645,M00066,P0038,T004,11.0,12.0,1.0,8.0,1.0,2.0,3.0,7.0,5.0,6.0,0.0,6.0,2.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000646,M00066,P0050,T004,24.0,4.0,10.0,11.0,1.0,0.0,1.0,4.0,11.0,2.0,5.0,0.0,6.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000647,M00066,P0049,T004,27.0,11.0,13.0,9.0,0.0,3.0,5.0,8.0,16.0,6.0,8.0,2.0,9.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000648,M00066,P0048,T004,26.0,16.0,9.0,11.0,0.0,0.0,1.0,5.0,20.0,0.0,8.0,7.0,3.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000649,M00066,P0055,T005,16.0,14.0,11.0,9.0,5.0,0.0,0.0,2.0,14.0,3.0,0.0,0.0,8.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000650,M00066,P0054,T005,28.0,4.0,9.0,4.0,4.0,1.0,0.0,8.0,11.0,4.0,2.0,6.0,9.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000651,M00066,P0058,T005,28.0,26.0,12.0,12.0,5.0,2.0,6.0,9.0,17.0,0.0,8.0,4.0,2.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000652,M00066,P0059,T005,35.0,23.0,12.0,10.0,4.0,1.0,1.0,6.0,6.0,2.0,0.0,8.0,4.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000653,M00066,P0060,T005,29.0,12.0,5.0,3.0,0.0,1.0,6.0,4.0,12.0,6.0,2.0,6.0,6.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000654,M00066,P0053,T005,27.0,3.0,13.0,9.0,5.0,0.0,4.0,8.0,7.0,3.0,10.0,1.0,7.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000655,M00066,P0062,T005,23.0,1.0,14.0,2.0,5.0,1.0,2.0,9.0,10.0,4.0,9.0,3.0,5.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000656,M00066,P0051,T005,31.0,23.0,7.0,8.0,1.0,4.0,6.0,1.0,12.0,6.0,0.0,5.0,6.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000657,M00067,P0011,T001,35.0,9.0,12.0,9.0,2.0,4.0,5.0,3.0,16.0,5.0,4.0,1.0,8.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000658,M00067,P0002,T001,28.0,24.0,11.0,6.0,5.0,0.0,6.0,4.0,3.0,4.0,7.0,6.0,1.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000659,M00067,P0003,T001,36.0,9.0,6.0,12.0,4.0,2.0,4.0,6.0,6.0,2.0,3.0,4.0,6.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000660,M00067,P0010,T001,14.0,15.0,9.0,8.0,2.0,0.0,6.0,1.0,8.0,3.0,3.0,0.0,0.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000661,M00067,P0007,T001,37.0,32.0,13.0,9.0,3.0,3.0,0.0,1.0,6.0,6.0,6.0,8.0,3.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000662,M00067,P0006,T001,12.0,12.0,10.0,0.0,0.0,0.0,3.0,9.0,4.0,4.0,10.0,4.0,1.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000663,M00067,P0001,T001,30.0,4.0,10.0,0.0,3.0,3.0,6.0,3.0,19.0,1.0,9.0,7.0,10.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000664,M00067,P0005,T001,30.0,9.0,1.0,11.0,2.0,1.0,5.0,5.0,11.0,0.0,7.0,7.0,7.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000665,M00067,P0068,T006,31.0,8.0,4.0,5.0,0.0,4.0,6.0,2.0,18.0,5.0,10.0,7.0,6.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000666,M00067,P0070,T006,11.0,10.0,2.0,12.0,2.0,0.0,3.0,9.0,20.0,2.0,1.0,3.0,3.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000667,M00067,P0066,T006,24.0,14.0,2.0,2.0,2.0,2.0,5.0,3.0,9.0,2.0,6.0,1.0,7.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000668,M00067,P0064,T006,39.0,5.0,14.0,0.0,1.0,1.0,5.0,2.0,5.0,4.0,2.0,0.0,6.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000669,M00067,P0071,T006,17.0,27.0,7.0,8.0,5.0,2.0,1.0,8.0,18.0,4.0,9.0,5.0,6.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000670,M00067,P0076,T006,16.0,13.0,14.0,1.0,5.0,4.0,2.0,5.0,11.0,4.0,0.0,2.0,9.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000671,M00067,P0077,T006,11.0,9.0,12.0,4.0,4.0,0.0,6.0,2.0,16.0,2.0,4.0,0.0,3.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000672,M00067,P0072,T006,16.0,16.0,3.0,6.0,3.0,4.0,0.0,3.0,17.0,5.0,7.0,8.0,2.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000673,M00070,P0053,T005,27.0,11.0,3.0,10.0,1.0,2.0,4.0,7.0,8.0,4.0,8.0,5.0,7.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000674,M00070,P0052,T005,33.0,28.0,7.0,12.0,3.0,1.0,6.0,9.0,10.0,0.0,8.0,2.0,8.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000675,M00070,P0051,T005,20.0,26.0,0.0,5.0,1.0,4.0,6.0,8.0,3.0,3.0,9.0,8.0,10.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000676,M00070,P0063,T005,22.0,7.0,14.0,7.0,5.0,0.0,3.0,8.0,10.0,3.0,8.0,2.0,0.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000677,M00070,P0062,T005,34.0,0.0,12.0,8.0,1.0,0.0,5.0,3.0,8.0,1.0,10.0,5.0,5.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000678,M00070,P0058,T005,15.0,5.0,12.0,10.0,5.0,2.0,0.0,6.0,20.0,3.0,1.0,4.0,6.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000679,M00070,P0057,T005,14.0,4.0,5.0,1.0,4.0,1.0,2.0,10.0,15.0,3.0,9.0,0.0,8.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000680,M00070,P0055,T005,27.0,17.0,7.0,6.0,4.0,4.0,4.0,5.0,20.0,6.0,0.0,2.0,2.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000681,M00070,P0001,T001,32.0,16.0,9.0,10.0,1.0,2.0,4.0,6.0,19.0,4.0,10.0,1.0,10.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000682,M00070,P0006,T001,19.0,22.0,14.0,10.0,4.0,4.0,3.0,1.0,17.0,0.0,5.0,2.0,3.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000683,M00070,P0013,T001,27.0,25.0,14.0,6.0,3.0,1.0,4.0,3.0,3.0,4.0,7.0,4.0,6.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000684,M00070,P0010,T001,12.0,4.0,14.0,7.0,4.0,4.0,3.0,7.0,20.0,1.0,9.0,6.0,8.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000685,M00070,P0004,T001,32.0,9.0,4.0,5.0,4.0,4.0,1.0,8.0,4.0,6.0,10.0,8.0,5.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000686,M00070,P0007,T001,26.0,0.0,12.0,10.0,1.0,1.0,2.0,1.0,11.0,0.0,10.0,5.0,6.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000687,M00070,P0012,T001,33.0,21.0,14.0,9.0,0.0,0.0,5.0,2.0,8.0,2.0,8.0,2.0,5.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000688,M00070,P0005,T001,21.0,17.0,8.0,2.0,4.0,3.0,3.0,10.0,15.0,1.0,2.0,5.0,9.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000689,M00071,P0093,T008,36.0,14.0,6.0,8.0,4.0,0.0,2.0,7.0,8.0,2.0,1.0,5.0,2.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000690,M00071,P0101,T008,34.0,21.0,15.0,2.0,2.0,3.0,1.0,10.0,8.0,3.0,9.0,3.0,3.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000691,M00071,P0094,T008,26.0,23.0,3.0,3.0,4.0,0.0,4.0,7.0,14.0,2.0,0.0,7.0,8.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000692,M00071,P0103,T008,40.0,24.0,10.0,0.0,4.0,2.0,6.0,8.0,12.0,6.0,4.0,3.0,0.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000693,M00071,P0099,T008,19.0,7.0,2.0,1.0,3.0,4.0,3.0,3.0,4.0,1.0,8.0,5.0,9.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000694,M00071,P0095,T008,18.0,2.0,2.0,5.0,1.0,3.0,2.0,2.0,13.0,2.0,7.0,1.0,5.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000695,M00071,P0097,T008,20.0,12.0,3.0,3.0,5.0,1.0,2.0,10.0,9.0,6.0,6.0,7.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000696,M00071,P0102,T008,17.0,27.0,14.0,5.0,0.0,0.0,4.0,5.0,7.0,5.0,10.0,1.0,4.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000697,M00071,P0080,T007,40.0,7.0,15.0,8.0,0.0,4.0,5.0,3.0,18.0,0.0,4.0,5.0,2.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000698,M00071,P0079,T007,37.0,32.0,11.0,6.0,1.0,1.0,2.0,9.0,16.0,3.0,0.0,5.0,9.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000699,M00071,P0084,T007,23.0,28.0,14.0,4.0,2.0,1.0,1.0,8.0,13.0,4.0,5.0,4.0,8.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000700,M00071,P0081,T007,20.0,27.0,11.0,12.0,2.0,4.0,2.0,3.0,19.0,1.0,4.0,1.0,1.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000701,M00071,P0086,T007,32.0,27.0,10.0,0.0,1.0,0.0,0.0,1.0,7.0,6.0,4.0,5.0,10.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000702,M00071,P0082,T007,28.0,14.0,2.0,3.0,1.0,0.0,6.0,6.0,13.0,0.0,3.0,0.0,5.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000703,M00071,P0083,T007,25.0,2.0,6.0,10.0,5.0,3.0,4.0,3.0,6.0,2.0,4.0,4.0,8.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000704,M00071,P0088,T007,29.0,24.0,12.0,9.0,4.0,3.0,1.0,8.0,10.0,3.0,7.0,7.0,4.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000705,M00075,P0020,T002,19.0,13.0,2.0,8.0,1.0,1.0,5.0,9.0,6.0,5.0,2.0,3.0,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000706,M00075,P0016,T002,16.0,9.0,0.0,10.0,2.0,4.0,0.0,1.0,15.0,5.0,0.0,1.0,8.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000707,M00075,P0014,T002,23.0,16.0,15.0,2.0,1.0,4.0,3.0,6.0,3.0,4.0,2.0,7.0,6.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000708,M00075,P0023,T002,32.0,5.0,14.0,2.0,1.0,2.0,3.0,8.0,13.0,2.0,5.0,8.0,10.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000709,M00075,P0021,T002,25.0,8.0,12.0,2.0,4.0,0.0,2.0,3.0,5.0,4.0,10.0,7.0,6.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000710,M00075,P0018,T002,31.0,35.0,7.0,11.0,0.0,3.0,0.0,9.0,8.0,5.0,7.0,1.0,10.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000711,M00075,P0015,T002,15.0,4.0,14.0,10.0,1.0,1.0,3.0,4.0,8.0,6.0,0.0,5.0,2.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000712,M00075,P0024,T002,14.0,13.0,13.0,2.0,0.0,3.0,6.0,6.0,5.0,5.0,4.0,3.0,8.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000713,M00075,P0093,T008,37.0,34.0,6.0,5.0,4.0,2.0,2.0,7.0,6.0,3.0,10.0,7.0,7.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000714,M00075,P0094,T008,15.0,25.0,9.0,3.0,0.0,4.0,2.0,5.0,11.0,4.0,7.0,1.0,2.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000715,M00075,P0103,T008,24.0,28.0,0.0,2.0,4.0,1.0,3.0,2.0,8.0,0.0,5.0,3.0,10.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000716,M00075,P0096,T008,29.0,29.0,15.0,11.0,0.0,1.0,3.0,6.0,7.0,4.0,8.0,8.0,3.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000717,M00075,P0100,T008,14.0,1.0,3.0,2.0,2.0,3.0,5.0,1.0,20.0,1.0,2.0,0.0,0.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000718,M00075,P0102,T008,34.0,35.0,15.0,9.0,5.0,3.0,4.0,9.0,19.0,6.0,9.0,7.0,5.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000719,M00075,P0097,T008,16.0,23.0,11.0,2.0,1.0,4.0,3.0,1.0,4.0,1.0,0.0,4.0,4.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000720,M00075,P0095,T008,39.0,24.0,2.0,9.0,4.0,2.0,0.0,8.0,5.0,2.0,2.0,3.0,9.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000721,M00076,P0002,T001,12.0,19.0,6.0,7.0,2.0,4.0,1.0,1.0,9.0,0.0,9.0,6.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000722,M00076,P0001,T001,16.0,31.0,2.0,9.0,0.0,1.0,3.0,1.0,7.0,5.0,2.0,1.0,3.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000723,M00076,P0003,T001,13.0,29.0,13.0,7.0,5.0,1.0,0.0,2.0,5.0,0.0,1.0,6.0,6.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000724,M00076,P0010,T001,14.0,11.0,1.0,1.0,4.0,0.0,3.0,3.0,13.0,5.0,8.0,7.0,3.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000725,M00076,P0011,T001,39.0,13.0,1.0,4.0,4.0,1.0,3.0,7.0,13.0,1.0,8.0,0.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000726,M00076,P0006,T001,24.0,19.0,3.0,2.0,2.0,1.0,0.0,2.0,12.0,0.0,8.0,6.0,10.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000727,M00076,P0008,T001,14.0,21.0,0.0,9.0,5.0,2.0,1.0,3.0,12.0,3.0,2.0,0.0,9.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000728,M00076,P0012,T001,32.0,23.0,11.0,11.0,3.0,0.0,6.0,1.0,9.0,5.0,10.0,5.0,2.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000729,M00076,P0062,T005,14.0,17.0,6.0,6.0,2.0,4.0,2.0,9.0,14.0,3.0,4.0,2.0,3.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000730,M00076,P0060,T005,10.0,16.0,2.0,11.0,1.0,0.0,1.0,8.0,4.0,3.0,1.0,5.0,9.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000731,M00076,P0058,T005,25.0,14.0,15.0,4.0,0.0,1.0,4.0,10.0,4.0,3.0,1.0,6.0,6.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000732,M00076,P0051,T005,28.0,1.0,13.0,3.0,1.0,1.0,6.0,5.0,19.0,5.0,1.0,5.0,5.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000733,M00076,P0052,T005,40.0,10.0,0.0,3.0,5.0,2.0,0.0,4.0,4.0,0.0,0.0,5.0,6.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000734,M00076,P0054,T005,25.0,28.0,11.0,6.0,2.0,4.0,0.0,6.0,17.0,4.0,10.0,5.0,5.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000735,M00076,P0061,T005,23.0,11.0,7.0,4.0,3.0,0.0,1.0,5.0,17.0,3.0,0.0,1.0,0.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000736,M00076,P0063,T005,11.0,7.0,3.0,0.0,1.0,0.0,6.0,7.0,20.0,1.0,1.0,7.0,6.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000737,M00079,P0049,T004,10.0,33.0,3.0,12.0,5.0,2.0,3.0,2.0,7.0,4.0,0.0,1.0,5.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000738,M00079,P0038,T004,11.0,29.0,2.0,3.0,4.0,0.0,3.0,8.0,6.0,1.0,0.0,7.0,3.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000739,M00079,P0044,T004,12.0,3.0,9.0,5.0,4.0,2.0,3.0,5.0,9.0,6.0,6.0,2.0,1.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000740,M00079,P0039,T004,16.0,1.0,0.0,9.0,3.0,1.0,2.0,9.0,19.0,5.0,5.0,7.0,6.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000741,M00079,P0043,T004,23.0,16.0,15.0,0.0,1.0,0.0,4.0,1.0,13.0,1.0,10.0,3.0,9.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000742,M00079,P0045,T004,15.0,28.0,8.0,6.0,3.0,3.0,6.0,3.0,5.0,2.0,9.0,1.0,8.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000743,M00079,P0037,T004,36.0,8.0,15.0,0.0,0.0,0.0,2.0,7.0,16.0,3.0,1.0,4.0,5.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000744,M00079,P0041,T004,28.0,1.0,2.0,12.0,0.0,0.0,3.0,10.0,18.0,5.0,7.0,1.0,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000745,M00079,P0025,T003,34.0,17.0,0.0,5.0,1.0,0.0,2.0,3.0,4.0,2.0,9.0,8.0,0.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000746,M00079,P0035,T003,28.0,19.0,15.0,6.0,4.0,4.0,3.0,4.0,5.0,1.0,7.0,7.0,10.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000747,M00079,P0029,T003,36.0,26.0,12.0,9.0,4.0,2.0,0.0,7.0,15.0,0.0,2.0,3.0,7.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000748,M00079,P0028,T003,40.0,3.0,15.0,7.0,4.0,2.0,1.0,4.0,8.0,6.0,5.0,6.0,2.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000749,M00079,P0026,T003,33.0,32.0,9.0,9.0,4.0,0.0,4.0,8.0,3.0,0.0,4.0,2.0,6.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000750,M00079,P0031,T003,40.0,8.0,0.0,3.0,3.0,0.0,4.0,8.0,20.0,6.0,2.0,1.0,1.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000751,M00079,P0030,T003,11.0,10.0,0.0,10.0,5.0,2.0,0.0,9.0,5.0,1.0,5.0,8.0,9.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000752,M00079,P0034,T003,38.0,28.0,4.0,1.0,0.0,3.0,0.0,9.0,19.0,5.0,9.0,4.0,10.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000753,M00080,P0025,T003,15.0,7.0,14.0,5.0,4.0,4.0,5.0,4.0,17.0,4.0,5.0,7.0,0.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000754,M00080,P0026,T003,15.0,3.0,0.0,4.0,4.0,0.0,3.0,8.0,13.0,3.0,10.0,1.0,2.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000755,M00080,P0033,T003,16.0,24.0,2.0,4.0,4.0,3.0,0.0,2.0,8.0,4.0,7.0,4.0,2.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000756,M00080,P0031,T003,31.0,27.0,4.0,7.0,5.0,3.0,4.0,8.0,4.0,2.0,0.0,5.0,3.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000757,M00080,P0029,T003,13.0,16.0,2.0,12.0,4.0,3.0,0.0,6.0,16.0,0.0,7.0,8.0,10.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000758,M00080,P0027,T003,15.0,31.0,9.0,10.0,5.0,4.0,4.0,4.0,13.0,5.0,6.0,5.0,1.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000759,M00080,P0032,T003,39.0,29.0,12.0,2.0,2.0,0.0,4.0,7.0,12.0,6.0,9.0,6.0,6.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000760,M00080,P0035,T003,17.0,16.0,13.0,0.0,2.0,3.0,4.0,5.0,7.0,0.0,7.0,0.0,2.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000761,M00080,P0042,T004,30.0,26.0,8.0,8.0,4.0,1.0,0.0,9.0,10.0,2.0,8.0,6.0,8.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000762,M00080,P0038,T004,26.0,14.0,1.0,6.0,1.0,2.0,3.0,8.0,7.0,6.0,8.0,7.0,9.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000763,M00080,P0043,T004,12.0,27.0,0.0,9.0,0.0,0.0,2.0,2.0,9.0,6.0,1.0,3.0,5.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000764,M00080,P0039,T004,34.0,10.0,6.0,11.0,3.0,0.0,1.0,4.0,18.0,5.0,6.0,0.0,5.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000765,M00080,P0047,T004,17.0,2.0,8.0,5.0,4.0,4.0,0.0,7.0,13.0,6.0,0.0,2.0,5.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000766,M00080,P0050,T004,40.0,17.0,9.0,7.0,1.0,2.0,0.0,10.0,6.0,3.0,5.0,0.0,3.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000767,M00080,P0040,T004,19.0,17.0,0.0,12.0,4.0,3.0,3.0,2.0,18.0,6.0,7.0,1.0,8.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000768,M00080,P0048,T004,32.0,16.0,1.0,8.0,4.0,0.0,6.0,7.0,17.0,6.0,8.0,2.0,1.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000769,M00081,P0038,T004,20.0,11.0,12.0,10.0,3.0,2.0,4.0,7.0,20.0,4.0,3.0,6.0,9.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000770,M00081,P0044,T004,24.0,19.0,12.0,9.0,2.0,0.0,2.0,6.0,11.0,2.0,10.0,0.0,1.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000771,M00081,P0041,T004,29.0,8.0,5.0,0.0,5.0,3.0,2.0,4.0,15.0,5.0,0.0,5.0,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000772,M00081,P0043,T004,25.0,5.0,13.0,10.0,5.0,0.0,1.0,10.0,20.0,6.0,8.0,6.0,3.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000773,M00081,P0045,T004,20.0,15.0,13.0,11.0,5.0,1.0,0.0,9.0,11.0,2.0,5.0,0.0,6.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000774,M00081,P0050,T004,10.0,3.0,0.0,9.0,5.0,4.0,2.0,3.0,12.0,4.0,9.0,4.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
